book_id,title,author,narrator,genre,duration,description,tags,rating,average_rating,total_ratings,duration_hours,release_date
35,Wild Journey,Emma Taylor,Amelia Brown,Historical Fiction,604,"A captivating historical fiction novel by Emma Taylor, 'Wild Journey' explores the complex world of human relationships.","emotional, philosophical, dark",3.4,4.0,600,6.5,2023-05-05
36,Mysterious Spirit Journey,James Gonzalez,Samuel Brown,Literary Fiction,245,"A captivating literary fiction novel by James Gonzalez, 'Mysterious Spirit Journey' investigates the fascinating world of adventure.","philosophical, dark, suspenseful, character-driven, classic",4.8,4.3,1500,15.2,2023-04-10
37,Loud Storm Memory,John Wilson,Michael Taylor,Literary Fiction,278,"In this dark literary fiction masterpiece, John Wilson creates a fascinating narrative that will keep you hooked until the last page.","dark, uplifting, page-turner",3.7,4.0,600,6.5,2023-05-05
38,Ancient World Storm,Amelia Williams,Sophia Garcia,Thriller,812,"In this classic thriller masterpiece, Amelia Williams weaves a compelling narrative that will keep you hooked until the last page.","educational, thought-provoking, classic",3.3,4.2,1200,12.5,2023-01-01
39,Silent World,Isabella Martinez,Emma Martinez,Romance,401,'Silent World' is a brilliant romance work that showcases Isabella Martinez's exceptional storytelling abilities.,"romantic, complex-plot, contemporary",3.8,4.0,600,6.5,2023-05-05
40,Broken Forest,Michael Jackson,Elizabeth Gonzalez,Thriller,393,"A captivating thriller novel by Michael Jackson, 'Broken Forest' delves into the intriguing world of adventure.","philosophical, dark, inspiring, thought-provoking",4.9,4.8,950,10.0,2023-03-20
41,Mysterious World,Ava Thomas,Amelia Rodriguez,Business,737,"A captivating business novel by Ava Thomas, 'Mysterious World' delves into the fascinating world of personal growth.","complex-plot, classic, emotional",3.6,4.0,600,6.5,2023-05-05
42,Bright Soul,James Gonzalez,Ava Rodriguez,Historical Fiction,1179,"A captivating historical fiction novel by James Gonzalez, 'Bright Soul' explores the complex world of adventure.","atmospheric, complex-plot, page-turner",4.4,4.2,1200,12.5,2023-01-01
43,Golden Story Story,Amelia Smith,Amelia Jones,Historical Fiction,849,'Golden Story Story' is a brilliant historical fiction work that highlights Amelia Smith's exceptional storytelling abilities.,"action-packed, complex-plot, page-turner, bestseller, philosophical",3.7,4.0,600,6.5,2023-05-05
44,Falling Star,John Smith,Ava Jones,Biography,1140,"In this suspenseful biography masterpiece, John Smith crafts a compelling narrative that will keep you hooked until the last page.","dark, inspiring, suspenseful, educational",5.0,4.8,950,10.0,2023-03-20
45,Wild Heart,Michael Gonzalez,John Hernandez,Mystery,842,'Wild Heart' is a stunning mystery work that demonstrates Michael Gonzalez's exceptional storytelling abilities.,"award-winning, uplifting, emotional",3.3,4.0,600,6.5,2023-05-05
46,Fierce River Memory,Isabella Williams,Joseph Rodriguez,Science Fiction,493,"In this emotional science fiction masterpiece, Isabella Williams creates a spellbinding narrative that will keep you hooked until the last page.","emotional, romantic, uplifting",4.6,4.8,950,10.0,2023-03-20
47,Lost Soul,Sophia Smith,Samuel Thomas,Science Fiction,572,"A captivating science fiction novel by Sophia Smith, 'Lost Soul' delves into the intriguing world of adventure.","suspenseful, thought-provoking, inspiring, philosophical",3.8,4.0,600,6.5,2023-05-05
48,Healing River Forest,Benjamin Martin,David Davis,Thriller,910,'Healing River Forest' is a masterful thriller work that demonstrates Benjamin Martin's exceptional storytelling abilities.,"uplifting, action-packed, romantic",3.3,4.0,600,6.5,2023-05-05
49,Secret Light Song,Ava Jackson,Alexander Martinez,Literary Fiction,192,"In this uplifting literary fiction masterpiece, Ava Jackson crafts a spellbinding narrative that will keep you hooked until the last page.","uplifting, atmospheric, educational, philosophical",4.9,4.8,950,10.0,2023-03-20
50,Ancient Journey Shadow,Daniel Jones,David Thomas,Science Fiction,505,"In this philosophical science fiction masterpiece, Daniel Jones creates a compelling narrative that will keep you hooked until the last page.","page-turner, philosophical",4.9,4.8,950,10.0,2023-03-20
51,Falling Mind,Daniel Rodriguez,Isabella Thomas,Romance,855,'Falling Mind' is a stunning romance work that showcases Daniel Rodriguez's exceptional storytelling abilities.,"atmospheric, page-turner",3.7,4.0,600,6.5,2023-05-05
52,Dark Mountain Dream,Mia Wilson,Isabella Thomas,Business,455,'Dark Mountain Dream' is a stunning business work that demonstrates Mia Wilson's exceptional storytelling abilities.,"character-driven, philosophical, complex-plot",4.4,4.2,1200,12.5,2023-01-01
53,Endless Storm Memory,Mia Brown,John Thomas,Biography,546,'Endless Storm Memory' is a brilliant biography work that highlights Mia Brown's exceptional storytelling abilities.,"action-packed, uplifting, suspenseful, thought-provoking, complex-plot",4.7,4.8,950,10.0,2023-03-20
54,Mysterious Memory Sky,Elizabeth Lopez,Alexander Davis,Historical Fiction,1131,"A captivating historical fiction novel by Elizabeth Lopez, 'Mysterious Memory Sky' explores the fascinating world of adventure.","action-packed, thought-provoking, atmospheric, educational",4.5,4.3,1500,15.2,2023-04-10
55,Silent Sun,Sophia Gonzalez,Amelia Wilson,Thriller,616,'Silent Sun' is a brilliant thriller work that showcases Sophia Gonzalez's exceptional storytelling abilities.,"character-driven, atmospheric, bestseller, emotional, educational",3.4,4.0,600,6.5,2023-05-05
56,Secret Journey Shadow,Olivia Martin,James Lopez,Historical Fiction,832,"In this educational historical fiction masterpiece, Olivia Martin weaves a spellbinding narrative that will keep you hooked until the last page.","educational, philosophical",4.2,4.0,600,6.5,2023-05-05
57,Fierce River Dream,Isabella Brown,Benjamin Anderson,Fantasy,899,"In this uplifting fantasy masterpiece, Isabella Brown weaves a compelling narrative that will keep you hooked until the last page.","uplifting, award-winning, suspenseful, complex-plot, classic",3.8,4.0,600,6.5,2023-05-05
58,Secret World Memory,William Taylor,Isabella Brown,Romance,1068,"A captivating romance novel by William Taylor, 'Secret World Memory' delves into the fascinating world of personal growth.","dark, contemporary, bestseller, suspenseful, educational",4.6,4.8,950,10.0,2023-03-20
59,Bright Heart,Charlotte Moore,David Hernandez,Fantasy,932,"In this suspenseful fantasy masterpiece, Charlotte Moore crafts a compelling narrative that will keep you hooked until the last page.","suspenseful, classic, emotional, educational",4.0,4.0,600,6.5,2023-05-05
60,Bright Story Heart,John Jackson,Samuel Garcia,Mystery,1176,"A captivating mystery novel by John Jackson, 'Bright Story Heart' explores the intriguing world of personal growth.","dark, romantic",3.9,4.0,600,6.5,2023-05-05
61,Fierce Time Shadow,Elizabeth Thomas,Emma Williams,Science Fiction,890,"In this thought-provoking science fiction masterpiece, Elizabeth Thomas crafts a compelling narrative that will keep you hooked until the last page.","educational, thought-provoking",3.7,4.0,600,6.5,2023-05-05
62,Lost Storm Spirit,Joseph Moore,Olivia Lopez,Literary Fiction,1055,"In this emotional literary fiction masterpiece, Joseph Moore creates a spellbinding narrative that will keep you hooked until the last page.","page-turner, classic, emotional, dark, atmospheric",3.4,4.0,600,6.5,2023-05-05
63,Rising Heart Path,Olivia Jones,Joseph Gonzalez,Biography,987,"A captivating biography novel by Olivia Jones, 'Rising Heart Path' explores the intriguing world of personal growth.","emotional, character-driven, complex-plot, philosophical, award-winning",4.2,4.0,600,6.5,2023-05-05
64,Ancient River,Ava Hernandez,Samuel Williams,Romance,1082,'Ancient River' is a stunning romance work that demonstrates Ava Hernandez's exceptional storytelling abilities.,"character-driven, atmospheric, bestseller, uplifting",3.4,4.0,600,6.5,2023-05-05
65,Forgotten River Time,Mia Thomas,Ava Thomas,Thriller,732,"A captivating thriller novel by Mia Thomas, 'Forgotten River Time' investigates the fascinating world of human relationships.","action-packed, philosophical, educational, contemporary",4.4,4.2,1200,12.5,2023-01-01
66,Wild Storm,Mia Martin,Elizabeth Brown,Self-Help,313,"In this atmospheric self-help masterpiece, Mia Martin weaves a spellbinding narrative that will keep you hooked until the last page.","dark, inspiring, atmospheric",3.2,4.0,600,6.5,2023-05-05
67,Bright Storm,Benjamin Moore,James Jackson,Science Fiction,1149,'Bright Storm' is a stunning science fiction work that highlights Benjamin Moore's exceptional storytelling abilities.,"character-driven, philosophical",4.0,4.0,600,6.5,2023-05-05
68,Falling Storm,Benjamin Garcia,Charlotte Jackson,Business,647,'Falling Storm' is a stunning business work that highlights Benjamin Garcia's exceptional storytelling abilities.,"complex-plot, uplifting",4.1,4.0,600,6.5,2023-05-05
69,Modern Story,Emma Johnson,Isabella Wilson,Thriller,864,"In this suspenseful thriller masterpiece, Emma Johnson weaves a spellbinding narrative that will keep you hooked until the last page.","page-turner, award-winning, suspenseful, bestseller, inspiring",4.5,4.8,950,10.0,2023-03-20
70,Eternal Path Story,William Brown,Michael Miller,Fantasy,934,'Eternal Path Story' is a brilliant fantasy work that demonstrates William Brown's exceptional storytelling abilities.,"character-driven, inspiring, dark, uplifting",4.2,4.0,600,6.5,2023-05-05
71,Dark Spirit,Sophia Moore,Ava Jones,Fantasy,368,"In this character-driven fantasy masterpiece, Sophia Moore creates a compelling narrative that will keep you hooked until the last page.","uplifting, character-driven, philosophical, complex-plot",3.7,4.0,600,6.5,2023-05-05
72,Lost Dance Storm,Daniel Smith,Charlotte Johnson,Thriller,1113,"A captivating thriller novel by Daniel Smith, 'Lost Dance Storm' investigates the intriguing world of adventure.","action-packed, educational, dark, contemporary, atmospheric",4.3,4.2,1200,12.5,2023-01-01
73,Bright Sky Dream,Michael Thomas,Mia Lopez,Mystery,799,'Bright Sky Dream' is a brilliant mystery work that highlights Michael Thomas's exceptional storytelling abilities.,"classic, page-turner, uplifting",4.5,4.8,950,10.0,2023-03-20
74,Loud Sky Journey,Charlotte Gonzalez,John Johnson,Science Fiction,744,"In this philosophical science fiction masterpiece, Charlotte Gonzalez weaves a fascinating narrative that will keep you hooked until the last page.","romantic, thought-provoking, uplifting, philosophical",4.7,4.8,950,10.0,2023-03-20
75,Loud Ocean Spirit,Amelia Taylor,Mia Jackson,Historical Fiction,807,"In this classic historical fiction masterpiece, Amelia Taylor weaves a compelling narrative that will keep you hooked until the last page.","complex-plot, award-winning, classic, page-turner, atmospheric",4.0,4.0,600,6.5,2023-05-05
76,Endless Story,Emma Thomas,William Davis,Self-Help,957,"A captivating self-help novel by Emma Thomas, 'Endless Story' investigates the fascinating world of personal growth.","dark, contemporary, bestseller, educational",3.9,4.0,600,6.5,2023-05-05
77,Hidden Story,Samuel Rodriguez,John Lopez,Historical Fiction,511,"In this complex-plot historical fiction masterpiece, Samuel Rodriguez creates a compelling narrative that will keep you hooked until the last page.","inspiring, thought-provoking, contemporary, complex-plot",4.6,4.8,950,10.0,2023-03-20
78,Loud Heart,Olivia Rodriguez,Isabella Garcia,Business,850,"A captivating business novel by Olivia Rodriguez, 'Loud Heart' delves into the complex world of human relationships.","inspiring, thought-provoking",4.4,4.0,600,6.5,2023-05-05
79,Golden Dance Journey,Sofia Brown,John Williams,Fantasy,1081,"In this award-winning fantasy masterpiece, Sofia Brown weaves a fascinating narrative that will keep you hooked until the last page.","award-winning, dark, classic",4.3,4.8,950,10.0,2023-03-20
80,Dark Time,John Williams,Michael Garcia,Science Fiction,452,"In this suspenseful science fiction masterpiece, John Williams crafts a compelling narrative that will keep you hooked until the last page.","character-driven, suspenseful, complex-plot, uplifting",3.7,4.0,600,6.5,2023-05-05
81,Quiet Sun,John Anderson,Joseph Rodriguez,Literary Fiction,1016,"In this philosophical literary fiction masterpiece, John Anderson creates a spellbinding narrative that will keep you hooked until the last page.","classic, romantic, philosophical",3.6,4.0,600,6.5,2023-05-05
82,Ancient Dream Forest,David Taylor,Isabella Martin,Mystery,732,"In this dark mystery masterpiece, David Taylor crafts a compelling narrative that will keep you hooked until the last page.","dark, uplifting",3.4,4.0,600,6.5,2023-05-05
83,Healing Heart Shadow,David Hernandez,Michael Jackson,Fantasy,668,"A captivating fantasy novel by David Hernandez, 'Healing Heart Shadow' explores the complex world of adventure.","emotional, contemporary, bestseller, romantic",4.5,4.8,950,10.0,2023-03-20
84,Ancient Time Shadow,Amelia Lopez,James Martin,Historical Fiction,575,'Ancient Time Shadow' is a brilliant historical fiction work that showcases Amelia Lopez's exceptional storytelling abilities.,"page-turner, thought-provoking, action-packed, character-driven",3.0,4.0,600,6.5,2023-05-05
85,Eternal Song Sky,Charlotte Garcia,Emma Rodriguez,Self-Help,719,"In this complex-plot self-help masterpiece, Charlotte Garcia crafts a fascinating narrative that will keep you hooked until the last page.","emotional, educational, dark, complex-plot",4.6,4.8,950,10.0,2023-03-20
86,Forgotten Forest,Emma Jones,Alexander Jackson,Literary Fiction,674,"In this suspenseful literary fiction masterpiece, Emma Jones creates a compelling narrative that will keep you hooked until the last page.","bestseller, suspenseful, action-packed",4.3,4.0,600,6.5,2023-05-05
87,Modern Memory Sky,Samuel Jackson,Charlotte Wilson,Thriller,559,"In this action-packed thriller masterpiece, Samuel Jackson crafts a spellbinding narrative that will keep you hooked until the last page.","dark, contemporary, action-packed, thought-provoking, complex-plot",4.9,4.8,950,10.0,2023-03-20
88,Healing Story Story,Isabella Jones,Elizabeth Wilson,Thriller,489,'Healing Story Story' is a masterful thriller work that highlights Isabella Jones's exceptional storytelling abilities.,"romantic, emotional, uplifting, complex-plot",3.3,4.0,600,6.5,2023-05-05
89,Loud Story,Samuel Williams,Sofia Johnson,Romance,942,"In this bestseller romance masterpiece, Samuel Williams weaves a compelling narrative that will keep you hooked until the last page.","bestseller, contemporary, philosophical",3.4,4.0,600,6.5,2023-05-05
90,Rising Path Sun,Daniel Rodriguez,Emma Jones,Mystery,703,'Rising Path Sun' is a brilliant mystery work that demonstrates Daniel Rodriguez's exceptional storytelling abilities.,"dark, uplifting, bestseller, action-packed, inspiring",3.5,4.0,600,6.5,2023-05-05
91,Dark Storm Light,David Martinez,Emma Brown,Literary Fiction,499,"In this page-turner literary fiction masterpiece, David Martinez weaves a spellbinding narrative that will keep you hooked until the last page.","award-winning, page-turner, dark, uplifting",3.6,4.0,600,6.5,2023-05-05
92,Gentle Heart,Daniel Moore,Charlotte Martinez,Self-Help,371,"A captivating self-help novel by Daniel Moore, 'Gentle Heart' delves into the fascinating world of human relationships.","thought-provoking, complex-plot",4.8,4.8,950,10.0,2023-03-20
93,Bright Ocean Story,William Miller,James Anderson,Business,737,'Bright Ocean Story' is a stunning business work that highlights William Miller's exceptional storytelling abilities.,"award-winning, suspenseful",4.2,4.0,600,6.5,2023-05-05
94,Falling Storm,Mia Williams,Mia Johnson,Self-Help,302,'Falling Storm' is a brilliant self-help work that highlights Mia Williams's exceptional storytelling abilities.,"uplifting, contemporary, suspenseful",3.3,4.0,600,6.5,2023-05-05
95,Loud Sky,James Taylor,Michael Wilson,Business,192,'Loud Sky' is a masterful business work that showcases James Taylor's exceptional storytelling abilities.,"suspenseful, uplifting",3.5,4.0,600,6.5,2023-05-05
96,Wild Light Time,Samuel Taylor,Joseph Martin,Romance,567,'Wild Light Time' is a masterful romance work that highlights Samuel Taylor's exceptional storytelling abilities.,"uplifting, emotional, inspiring, thought-provoking, dark",3.4,4.0,600,6.5,2023-05-05
97,Mysterious River Spirit,James Moore,Olivia Lopez,Science Fiction,968,"In this contemporary science fiction masterpiece, James Moore creates a fascinating narrative that will keep you hooked until the last page.","contemporary, bestseller, emotional",4.0,4.8,950,10.0,2023-03-20
98,Quiet Forest Path,Sophia Lopez,Sophia Gonzalez,Historical Fiction,1003,'Quiet Forest Path' is a masterful historical fiction work that showcases Sophia Lopez's exceptional storytelling abilities.,"dark, page-turner, contemporary",3.5,4.0,600,6.5,2023-05-05
99,Hidden World Light,Emma Davis,William Williams,Historical Fiction,425,'Hidden World Light' is a brilliant historical fiction work that showcases Emma Davis's exceptional storytelling abilities.,"suspenseful, educational, thought-provoking, inspiring",4.7,4.8,950,10.0,2023-03-20
100,Golden Mountain,Alexander Anderson,Amelia Rodriguez,Self-Help,902,"In this romantic self-help masterpiece, Alexander Anderson crafts a compelling narrative that will keep you hooked until the last page.","atmospheric, romantic",3.0,4.0,600,6.5,2023-05-05
101,Falling Time,Sofia Thomas,Olivia Thomas,Biography,933,'Falling Time' is a brilliant biography work that highlights Sofia Thomas's exceptional storytelling abilities.,"award-winning, philosophical, dark, atmospheric",4.7,4.8,950,10.0,2023-03-20
102,Golden Storm,John Garcia,Benjamin Anderson,Fantasy,571,"A captivating fantasy novel by John Garcia, 'Golden Storm' delves into the complex world of adventure.","emotional, action-packed, complex-plot, atmospheric, suspenseful",3.2,4.0,600,6.5,2023-05-05
103,Falling Mountain Dream,Isabella Anderson,Ava Brown,Business,1154,'Falling Mountain Dream' is a brilliant business work that demonstrates Isabella Anderson's exceptional storytelling abilities.,"atmospheric, award-winning, action-packed, educational, bestseller",4.9,4.8,950,10.0,2023-03-20
104,Modern River,Joseph Jackson,Alexander Williams,Thriller,920,'Modern River' is a masterful thriller work that demonstrates Joseph Jackson's exceptional storytelling abilities.,"romantic, philosophical",4.8,4.8,950,10.0,2023-03-20
105,Ancient River,Sofia Anderson,Elizabeth Moore,Science Fiction,495,'Ancient River' is a brilliant science fiction work that demonstrates Sofia Anderson's exceptional storytelling abilities.,"character-driven, suspenseful",3.9,4.0,600,6.5,2023-05-05
106,Eternal Sky Moon,Benjamin Miller,Amelia Martinez,Fantasy,498,'Eternal Sky Moon' is a masterful fantasy work that highlights Benjamin Miller's exceptional storytelling abilities.,"suspenseful, bestseller, classic, award-winning, character-driven",4.0,4.8,950,10.0,2023-03-20
107,Healing Light,Emma Anderson,Amelia Miller,Historical Fiction,220,'Healing Light' is a brilliant historical fiction work that highlights Emma Anderson's exceptional storytelling abilities.,"educational, dark, contemporary, uplifting",3.3,4.0,600,6.5,2023-05-05
108,Broken Forest,Samuel Jackson,David Smith,Biography,948,"In this philosophical biography masterpiece, Samuel Jackson crafts a compelling narrative that will keep you hooked until the last page.","suspenseful, award-winning, inspiring, philosophical",4.9,4.8,950,10.0,2023-03-20
109,Broken Song,Alexander Garcia,James Lopez,Biography,686,"In this page-turner biography masterpiece, Alexander Garcia crafts a fascinating narrative that will keep you hooked until the last page.","bestseller, page-turner",4.4,4.0,600,6.5,2023-05-05
110,Golden River Light,David Wilson,Elizabeth Miller,Business,697,'Golden River Light' is a brilliant business work that demonstrates David Wilson's exceptional storytelling abilities.,"action-packed, thought-provoking",3.2,4.0,600,6.5,2023-05-05
111,Loud Journey Time,Isabella Jones,Daniel Martin,Fantasy,540,"In this page-turner fantasy masterpiece, Isabella Jones crafts a spellbinding narrative that will keep you hooked until the last page.","action-packed, inspiring, page-turner",3.1,4.0,600,6.5,2023-05-05
112,Secret Song,Emma Brown,William Martin,Historical Fiction,1177,'Secret Song' is a stunning historical fiction work that demonstrates Emma Brown's exceptional storytelling abilities.,"uplifting, thought-provoking, educational",3.1,4.0,600,6.5,2023-05-05
113,Endless Mountain Heart,Sophia Taylor,Sofia Garcia,Business,242,"In this action-packed business masterpiece, Sophia Taylor creates a spellbinding narrative that will keep you hooked until the last page.","action-packed, character-driven, contemporary, bestseller",3.8,4.0,600,6.5,2023-05-05
114,Dark River Soul,Isabella Miller,Emma Martinez,Romance,450,"A captivating romance novel by Isabella Miller, 'Dark River Soul' investigates the intriguing world of human relationships.","action-packed, contemporary, romantic, page-turner, educational",3.1,4.0,600,6.5,2023-05-05
115,Healing World,Elizabeth Martinez,Benjamin Garcia,Mystery,840,"In this uplifting mystery masterpiece, Elizabeth Martinez weaves a spellbinding narrative that will keep you hooked until the last page.","romantic, award-winning, suspenseful, uplifting, character-driven",3.4,4.8,950,10.0,2023-03-20
116,Wild Dance Dream,Amelia Moore,Isabella Davis,Literary Fiction,1038,"A captivating literary fiction novel by Amelia Moore, 'Wild Dance Dream' delves into the intriguing world of human relationships.","character-driven, classic, thought-provoking",3.7,4.0,600,6.5,2023-05-05
